2023-05-30 17:59:41.584 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-30 18:03:41.268 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-30 18:03:41.349 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 81 ms
2023-05-30 18:52:37.023 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-30 18:52:37.763 INFO  PID_IS_UNDEFINED --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3942 ms
2023-05-30 18:52:38.002 WARN  PID_IS_UNDEFINED --- [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2023-05-30 18:52:59.926 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-30 18:53:00.939 INFO  PID_IS_UNDEFINED --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5975 ms
2023-05-30 18:53:02.565 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-30 18:53:37.372 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-30 18:53:38.572 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1199 ms
2023-05-30 18:53:46.308 WARN  PID_IS_UNDEFINED --- [http-nio-8080-exec-3] org.springframework.web.servlet.PageNotFound - No mapping for GET /c2
